id,report_number,origin,sponsor_id,sponsor_name,sponsor_description,report_type,report_date,election_year,sponsor_address,sponsor_city,sponsor_state,sponsor_zip,sponsor_email,sponsor_phone,total_unitemized,total_cycle,expenditure_amount,expenditure_description,date_expense_obligated,date_advertising_presented,vendor_name,vendor_address,vendor_city,vendor_state,vendor_zipcode,url,sponsor_location,vendor_location,candidate_entity_id,candidate_candidacy_id,candidate_committee_id,candidate_filer_id,candidate_name,candidate_last_name,candidate_first_name,candidate_office,candidate_jurisdiction,candidate_party,portion_of_amount,for_or_against,filer_id,sponsor_entity_id,funders_name,date_received,amount,funders_address,funders_city,funders_state,funders_zipcode,funders_location,ballot_name,ballot_number,ballot_type,funders_first_name,funders_occupation,funders_employer,funders_employer_city,funders_employer_state,total_this_report
3420.entity,2228,C6.3 - Identified Entities,315,FUSE VOTES,Not Required for an Independent Expenditure,Independent Expenditure,2009-01-22T00:00:00.000,2008,1402 THIRD AVE SUITE 510,SEATTLE,WA,98101,,,0.00,0.00,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-2228'},"{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}",,7955,16502,7532,GREGC  507,CHRISTINE GREGOIRE ,GREGOIRE,CHRISTINE,GOVERNOR,"GOVERNOR, OFFICE OF",DEMOCRAT,357.00,For,GREGC  507,33404,,,,,,,,,,,,,,,,,
3421.entity,2229,C6.3 - Identified Entities,315,FUSE VOTES,Not Required for an Independent Expenditure,Independent Expenditure,2009-01-22T00:00:00.000,2008,1402 THIRD AVE SUITE 510,SEATTLE,WA,98101,,,181.09,357.00,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-2229'},"{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}",,7955,16502,7532,GREGC  507,CHRISTINE GREGOIRE ,GREGOIRE,CHRISTINE,GOVERNOR,"GOVERNOR, OFFICE OF",DEMOCRAT,4411.03,For,GREGC  507,33404,,,,,,,,,,,,,,,,,
3485.expn,2229,C6.2 - Itemized Expenditures,315,FUSE VOTES,Not Required for an Independent Expenditure,Independent Expenditure,2009-01-22T00:00:00.000,2008,1402 THIRD AVE SUITE 510,SEATTLE,WA,98101,accounting@fusewashington.org,,181.09,357.00,3122.00,FACEBOOK ROSSI LINKS EXPENSES,2008-10-30T00:00:00.000,2008-10-30T00:00:00.000,COMMON SENSE NMS,"111 BEACH ST., UNIT 1",BOSTON,MA,02111,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-2229'},"{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}","{'type': 'Point', 'coordinates': [-71.058031, 42.35047]}",,,,,,,,,,,,,,33404,,,,,,,,,,,,,,,,,
3486.expn,2229,C6.2 - Itemized Expenditures,315,FUSE VOTES,Not Required for an Independent Expenditure,Independent Expenditure,2009-01-22T00:00:00.000,2008,1402 THIRD AVE SUITE 510,SEATTLE,WA,98101,accounting@fusewashington.org,,181.09,357.00,739.62,PHONE BANKING SERVICE,2008-11-04T00:00:00.000,2008-11-04T00:00:00.000,APRIL THOMAS,1314 LAKEVIEW BLVD E,SEATTLE,WA,98102,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-2229'},"{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}","{'type': 'Point', 'coordinates': [-122.32363, 47.63125]}",,,,,,,,,,,,,,33404,,,,,,,,,,,,,,,,,
3487.expn,2229,C6.2 - Itemized Expenditures,315,FUSE VOTES,Not Required for an Independent Expenditure,Independent Expenditure,2009-01-22T00:00:00.000,2008,1402 THIRD AVE SUITE 510,SEATTLE,WA,98101,accounting@fusewashington.org,,181.09,357.00,868.00,PHONE BANKING SERVICE,2008-11-05T00:00:00.000,2008-11-05T00:00:00.000,BRUCE BOLTON,504 E UNION #10,SEATTLE,WA,98122,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-2229'},"{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}","{'type': 'Point', 'coordinates': [-122.32521, 47.61312]}",,,,,,,,,,,,,,33404,,,,,,,,,,,,,,,,,
3488.expn,2229,C6.2 - Itemized Expenditures,315,FUSE VOTES,Not Required for an Independent Expenditure,Independent Expenditure,2009-01-22T00:00:00.000,2008,1402 THIRD AVE SUITE 510,SEATTLE,WA,98101,accounting@fusewashington.org,,181.09,357.00,12538.32,STAFF TIME - EARN MEDIA WORK & PHONE BANKING,2008-11-06T00:00:00.000,2008-11-06T00:00:00.000,FUSE WASHINGTON,1402 THIRD AVE SUITE 510,SEATTLE,WA,98101,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-2229'},"{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}","{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}",,,,,,,,,,,,,,33404,,,,,,,,,,,,,,,,,
3489.expn,2229,C6.2 - Itemized Expenditures,315,FUSE VOTES,Not Required for an Independent Expenditure,Independent Expenditure,2009-01-22T00:00:00.000,2008,1402 THIRD AVE SUITE 510,SEATTLE,WA,98101,accounting@fusewashington.org,,181.09,357.00,367.50,CONSULTING WORK,2008-11-07T00:00:00.000,2008-11-07T00:00:00.000,WINTEGRATED SOLUTIONS LLC,"218 MAIN STREET, PMB 450",KIRKLAND,WA,98033,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-2229'},"{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}","{'type': 'Point', 'coordinates': [-122.20472, 47.67669]}",,,,,,,,,,,,,,33404,,,,,,,,,,,,,,,,,
3490.expn,2230,C6.2 - Itemized Expenditures,315,FUSE VOTES,Not Required for an Independent Expenditure,Independent Expenditure,2009-01-22T00:00:00.000,2008,1402 THIRD AVE SUITE 510,SEATTLE,WA,98101,accounting@fusewashington.org,,0.00,18883.53,14103.09,STAFF TIME - EARN MEDIA WORK & PHONE BANKING,2008-12-30T00:00:00.000,2008-12-30T00:00:00.000,FUSE WASHINGTON,1402 THIRD AVE SUITE 510,SEATTLE,WA,98101,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-2230'},"{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}","{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}",,,,,,,,,,,,,,33404,,,,,,,,,,,,,,,,,
3491.expn,2230,C6.2 - Itemized Expenditures,315,FUSE VOTES,Not Required for an Independent Expenditure,Independent Expenditure,2009-01-22T00:00:00.000,2008,1402 THIRD AVE SUITE 510,SEATTLE,WA,98101,accounting@fusewashington.org,,0.00,18883.53,824.94,STAFF TIME - EARN MEDIA WORK & PHONE BANKING,2008-12-31T00:00:00.000,2008-12-31T00:00:00.000,FUSE WASHINGTON,1402 THIRD AVE SUITE 510,SEATTLE,WA,98101,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-2230'},"{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}","{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}",,,,,,,,,,,,,,33404,,,,,,,,,,,,,,,,,
3492.expn,2230,C6.2 - Itemized Expenditures,315,FUSE VOTES,Not Required for an Independent Expenditure,Independent Expenditure,2009-01-22T00:00:00.000,2008,1402 THIRD AVE SUITE 510,SEATTLE,WA,98101,accounting@fusewashington.org,,0.00,18883.53,135.00,CONSULTING ARTWORK FOR ROSSI CARTOON,2008-12-30T00:00:00.000,2008-12-30T00:00:00.000,ROBIN HING,10047 46TH AVE NE,SEATTLE,WA,98125,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-2230'},"{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}","{'type': 'Point', 'coordinates': [-122.27926, 47.70248]}",,,,,,,,,,,,,,33404,,,,,,,,,,,,,,,,,
3493.expn,2230,C6.2 - Itemized Expenditures,315,FUSE VOTES,Not Required for an Independent Expenditure,Independent Expenditure,2009-01-22T00:00:00.000,2008,1402 THIRD AVE SUITE 510,SEATTLE,WA,98101,accounting@fusewashington.org,,0.00,18883.53,195.00,CONSULTING WORK,2009-01-06T00:00:00.000,2009-01-06T00:00:00.000,WINTEGRATED SOLUTIONS LLC,"218 MAIN STREET, PMB 450",KIRKLAND,WA,98033,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-2230'},"{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}","{'type': 'Point', 'coordinates': [-122.20472, 47.67669]}",,,,,,,,,,,,,,33404,,,,,,,,,,,,,,,,,
3494.expn,2230,C6.2 - Itemized Expenditures,315,FUSE VOTES,Not Required for an Independent Expenditure,Independent Expenditure,2009-01-22T00:00:00.000,2008,1402 THIRD AVE SUITE 510,SEATTLE,WA,98101,accounting@fusewashington.org,,0.00,18883.53,233.82,TRAVEL AND MEAL REIMBURSEMENT,2008-12-29T00:00:00.000,2008-12-29T00:00:00.000,JESSICA CAVALIERI,30127 16TH AVE SW,FEDERAL WAY,WA,98023,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-2230'},"{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}","{'type': 'Point', 'coordinates': [-122.35586, 47.33106]}",,,,,,,,,,,,,,33404,,,,,,,,,,,,,,,,,
3495.expn,2230,C6.2 - Itemized Expenditures,315,FUSE VOTES,Not Required for an Independent Expenditure,Independent Expenditure,2009-01-22T00:00:00.000,2008,1402 THIRD AVE SUITE 510,SEATTLE,WA,98101,accounting@fusewashington.org,,0.00,18883.53,3981.31,FACEBOOK AND WSU ROSSI LINKS EXPENSES REIMB.,2008-12-29T00:00:00.000,2008-12-29T00:00:00.000,AARON OSTROM,1113 25TH AVE,SEATTLE,WA,98122,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-2230'},"{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}","{'type': 'Point', 'coordinates': [-122.30044, 47.61204]}",,,,,,,,,,,,,,33404,,,,,,,,,,,,,,,,,
3496.expn,2230,C6.2 - Itemized Expenditures,315,FUSE VOTES,Not Required for an Independent Expenditure,Independent Expenditure,2009-01-22T00:00:00.000,2008,1402 THIRD AVE SUITE 510,SEATTLE,WA,98101,accounting@fusewashington.org,,0.00,18883.53,200.00,CONSULTING SERVICE FOR RESEARCH GUBERNATORIAL CANDIDATE,2008-12-29T00:00:00.000,2008-12-29T00:00:00.000,JOHN M. HEALY,1127 35TH AVE,SEATTLE,WA,98122,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-2230'},"{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}","{'type': 'Point', 'coordinates': [-122.28853, 47.6124]}",,,,,,,,,,,,,,33404,,,,,,,,,,,,,,,,,
3497.expn,2231,C6.2 - Itemized Expenditures,321,NEW AMERICANS ACTION FUND,Not Required for an Independent Expenditure,Independent Expenditure,2009-01-22T00:00:00.000,2008,1402 THIRD AVE SUITE 515,SEATTLE,WA,98101,YK_RICH@YAHOO.COM,2063040588,587.40,0.00,500.00,REIMB. FOR PHONE/PREDICTIVE DIAL SERVICE,2008-10-29T00:00:00.000,2008-10-29T00:00:00.000,GEORGE CHEUNG,1402 THIRD AVE SUITE 515,SEATTLE,WA,98101,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-2231'},"{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}","{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3498.expn,2231,C6.2 - Itemized Expenditures,321,NEW AMERICANS ACTION FUND,Not Required for an Independent Expenditure,Independent Expenditure,2009-01-22T00:00:00.000,2008,1402 THIRD AVE SUITE 515,SEATTLE,WA,98101,YK_RICH@YAHOO.COM,2063040588,587.40,0.00,200.00,PHONE BANKING FOOD EXPENSES,2008-10-29T00:00:00.000,2008-10-29T00:00:00.000,SHARON MAEDA,1606 SW 104TH PMB 406,SEATTLE,WA,98146,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-2231'},"{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}","{'type': 'Point', 'coordinates': [-122.35535, 47.51015]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3499.expn,2231,C6.2 - Itemized Expenditures,321,NEW AMERICANS ACTION FUND,Not Required for an Independent Expenditure,Independent Expenditure,2009-01-22T00:00:00.000,2008,1402 THIRD AVE SUITE 515,SEATTLE,WA,98101,YK_RICH@YAHOO.COM,2063040588,587.40,0.00,500.00,REIMB. FOR PHONE ACTIVATION SERVICE,2008-10-30T00:00:00.000,2008-10-30T00:00:00.000,GEORGE CHEUNG,1402 THIRD AVE SUITE 515,SEATTLE,WA,98101,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-2231'},"{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}","{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3500.expn,2231,C6.2 - Itemized Expenditures,321,NEW AMERICANS ACTION FUND,Not Required for an Independent Expenditure,Independent Expenditure,2009-01-22T00:00:00.000,2008,1402 THIRD AVE SUITE 515,SEATTLE,WA,98101,YK_RICH@YAHOO.COM,2063040588,587.40,0.00,108.41,PHONE BANKING FOOD EXPENSES,2008-11-03T00:00:00.000,2008-11-03T00:00:00.000,SHARON MAEDA,1606 SW 104TH PMB 406,SEATTLE,WA,98146,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-2231'},"{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}","{'type': 'Point', 'coordinates': [-122.35535, 47.51015]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3501.expn,2231,C6.2 - Itemized Expenditures,321,NEW AMERICANS ACTION FUND,Not Required for an Independent Expenditure,Independent Expenditure,2009-01-22T00:00:00.000,2008,1402 THIRD AVE SUITE 515,SEATTLE,WA,98101,YK_RICH@YAHOO.COM,2063040588,587.40,0.00,380.00,RENT FOR PHONE BANKING,2008-11-03T00:00:00.000,2008-11-03T00:00:00.000,SEIU LOCAL 6,PO BOX 3716,SEATTLE,WA,98124,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-2231'},"{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}","{'type': 'Point', 'coordinates': [-122.31444, 47.54783]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3502.expn,2231,C6.2 - Itemized Expenditures,321,NEW AMERICANS ACTION FUND,Not Required for an Independent Expenditure,Independent Expenditure,2009-01-22T00:00:00.000,2008,1402 THIRD AVE SUITE 515,SEATTLE,WA,98101,YK_RICH@YAHOO.COM,2063040588,587.40,0.00,390.00,PHONE BANKING,2008-11-03T00:00:00.000,2008-11-03T00:00:00.000,ABDI HUSSEIN,5248 - 45TH AVE. SOUTH,SEATTLE,WA,98118,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-2231'},"{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}","{'type': 'Point', 'coordinates': [-122.27622, 47.55371]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3503.expn,2231,C6.2 - Itemized Expenditures,321,NEW AMERICANS ACTION FUND,Not Required for an Independent Expenditure,Independent Expenditure,2009-01-22T00:00:00.000,2008,1402 THIRD AVE SUITE 515,SEATTLE,WA,98101,YK_RICH@YAHOO.COM,2063040588,587.40,0.00,162.00,PHONE BANKING,2008-11-03T00:00:00.000,2008-11-03T00:00:00.000,SHAMSA ISSACK,5941A - 36TH AVE. SOUTH,SEATTLE,WA,98118,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-2231'},"{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}","{'type': 'Point', 'coordinates': [-122.28815, 47.54839]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3504.expn,2231,C6.2 - Itemized Expenditures,321,NEW AMERICANS ACTION FUND,Not Required for an Independent Expenditure,Independent Expenditure,2009-01-22T00:00:00.000,2008,1402 THIRD AVE SUITE 515,SEATTLE,WA,98101,YK_RICH@YAHOO.COM,2063040588,587.40,0.00,276.00,PHONE BANKING,2008-11-03T00:00:00.000,2008-11-03T00:00:00.000,HABSO MAHDI,5941A - 36TH AVE. SOUTH,SEATTLE,WA,98118,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-2231'},"{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}","{'type': 'Point', 'coordinates': [-122.28815, 47.54839]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3505.expn,2231,C6.2 - Itemized Expenditures,321,NEW AMERICANS ACTION FUND,Not Required for an Independent Expenditure,Independent Expenditure,2009-01-22T00:00:00.000,2008,1402 THIRD AVE SUITE 515,SEATTLE,WA,98101,YK_RICH@YAHOO.COM,2063040588,587.40,0.00,258.00,PHONE BANKING,2008-11-03T00:00:00.000,2008-11-03T00:00:00.000,SHARMARKE MOHAMED,510 STEVENS AVE. SW Q201,RENTON,WA,98057,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-2231'},"{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}","{'type': 'Point', 'coordinates': [-122.22456, 47.47664]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3506.expn,2231,C6.2 - Itemized Expenditures,321,NEW AMERICANS ACTION FUND,Not Required for an Independent Expenditure,Independent Expenditure,2009-01-22T00:00:00.000,2008,1402 THIRD AVE SUITE 515,SEATTLE,WA,98101,YK_RICH@YAHOO.COM,2063040588,587.40,0.00,336.00,PHONE BANKING,2008-11-03T00:00:00.000,2008-11-03T00:00:00.000,ABDI I OLOW,3721 S. 180TH STREET #A309,SEATAC,WA,98188,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-2231'},"{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}","{'type': 'Point', 'coordinates': [-122.28629, 47.441]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3507.expn,2231,C6.2 - Itemized Expenditures,321,NEW AMERICANS ACTION FUND,Not Required for an Independent Expenditure,Independent Expenditure,2009-01-22T00:00:00.000,2008,1402 THIRD AVE SUITE 515,SEATTLE,WA,98101,YK_RICH@YAHOO.COM,2063040588,587.40,0.00,336.00,PHONE BANKING,2008-11-03T00:00:00.000,2008-11-03T00:00:00.000,HASSAN I OLOW,3721 S. 180TH ST. #A309,SEATAC,WA,98188,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-2231'},"{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}","{'type': 'Point', 'coordinates': [-122.28629, 47.441]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3508.expn,2231,C6.2 - Itemized Expenditures,321,NEW AMERICANS ACTION FUND,Not Required for an Independent Expenditure,Independent Expenditure,2009-01-22T00:00:00.000,2008,1402 THIRD AVE SUITE 515,SEATTLE,WA,98101,YK_RICH@YAHOO.COM,2063040588,587.40,0.00,204.00,PHONE BANKING,2008-11-03T00:00:00.000,2008-11-03T00:00:00.000,AARON PINTO,3100 SOUTH 208TH  M-201,SEATAC,WA,98198,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-2231'},"{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}","{'type': 'Point', 'coordinates': [-122.2932, 47.41557]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3509.expn,2231,C6.2 - Itemized Expenditures,321,NEW AMERICANS ACTION FUND,Not Required for an Independent Expenditure,Independent Expenditure,2009-01-22T00:00:00.000,2008,1402 THIRD AVE SUITE 515,SEATTLE,WA,98101,YK_RICH@YAHOO.COM,2063040588,587.40,0.00,354.00,PHONE BANKING,2008-11-03T00:00:00.000,2008-11-03T00:00:00.000,AHMED SHEIKH,10903 - 4TH PLACE SOUTH,SEATTLE,WA,98146,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-2231'},"{'type': 'Point', 'coordinates': [-122.33679, 47.60909]}","{'type': 'Point', 'coordinates': [-122.34002, 47.50564]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
