id,report_number,origin,sponsor_entity_id,sponsor_id,sponsor_name,sponsor_description,report_type,report_date,election_year,sponsor_address,sponsor_city,sponsor_state,sponsor_zip,sponsor_email,total_unitemized,total_cycle,total_this_report,expenditure_amount,expenditure_description,date_expense_obligated,date_advertising_presented,vendor_name,vendor_address,vendor_city,vendor_state,vendor_zipcode,url,candidate_entity_id,candidate_candidacy_id,candidate_committee_id,candidate_filer_id,candidate_name,candidate_last_name,candidate_office,candidate_jurisdiction,portion_of_amount,for_or_against,filer_id,funders_name,date_received,amount,funders_address,funders_city,funders_state,funders_zipcode,candidate_first_name,candidate_party,vendor_location,ballot_name,ballot_number,ballot_type,sponsor_location,sponsor_phone,funders_location,funders_first_name,funders_occupation,funders_employer,funders_employer_city,funders_employer_state
4821.source,12757,C6.5 - Funding Sources,34313,2145,THE WASHINGTON BUS POLITICAL ACTION COMMITTEE ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2024-10-17T00:00:00.000,2023,"1801 12TH AVENUE, SUITE A",SEATTLE,WA,98122,,,,,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-12757'},,,,,,,,,,,,VOTER ACTION PAC,2023-10-15T00:00:00.000,10000.00,"1511 3RD AVENUE, SUITE 300 ",SEATTLE,WA,98101,,,,,,,,,,,,,,
4822.source,12757,C6.5 - Funding Sources,34313,2145,THE WASHINGTON BUS POLITICAL ACTION COMMITTEE ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2024-10-17T00:00:00.000,2023,"1801 12TH AVENUE, SUITE A",SEATTLE,WA,98122,,,,,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-12757'},,,,,,,,,,,,WASHINGTON CONSERVATION VOTER,2023-10-15T00:00:00.000,7500.00,1402 3RD AVE #1400,SEATTLE,WA,98101,,,,,,,,,,,,,,
4823.source,12757,C6.5 - Funding Sources,34313,2145,THE WASHINGTON BUS POLITICAL ACTION COMMITTEE ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2024-10-17T00:00:00.000,2023,"1801 12TH AVENUE, SUITE A",SEATTLE,WA,98122,,,,,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-12757'},,,,,,,,,,,,SEIU 775 QUALITY CARE COMMITT,2023-10-15T00:00:00.000,5000.00,215 COLUMBIA ST #300,SEATTLE,WA,98104,,,,,,,,,,,,,,
4817.source,12756,C6.5 - Funding Sources,34313,2145,THE WASHINGTON BUS POLITICAL ACTION COMMITTEE ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2024-10-17T00:00:00.000,2023,"1801 12TH AVENUE, SUITE A",SEATTLE,WA,98122,,,,,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-12756'},,,,,,,,,,,,VOTER ACTION PAC,2023-10-15T00:00:00.000,10000.00,"1511 3RD AVENUE, SUITE 300 ",SEATTLE,WA,98101,,,,,,,,,,,,,,
4818.source,12756,C6.5 - Funding Sources,34313,2145,THE WASHINGTON BUS POLITICAL ACTION COMMITTEE ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2024-10-17T00:00:00.000,2023,"1801 12TH AVENUE, SUITE A",SEATTLE,WA,98122,,,,,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-12756'},,,,,,,,,,,,WASHINGTON CONSERVATION VOTER,2023-10-15T00:00:00.000,7500.00,1402 3RD AVE #1400,SEATTLE,WA,98101,,,,,,,,,,,,,,
4820.source,12756,C6.5 - Funding Sources,34313,2145,THE WASHINGTON BUS POLITICAL ACTION COMMITTEE ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2024-10-17T00:00:00.000,2023,"1801 12TH AVENUE, SUITE A",SEATTLE,WA,98122,,,,,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-12756'},,,,,,,,,,,,THE WASHINGTON BUS (IN-KIND STAFF TIME),2023-10-13T00:00:00.000,4579.80,1801 12TH AVE,SEATTLE,WA,98122,,,,,,,,,,,,,,
22768.expn,12756,C6.2 - Itemized Expenditures,34313,2145,THE WASHINGTON BUS POLITICAL ACTION COMMITTEE ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2024-10-17T00:00:00.000,2023,"1801 12TH AVENUE, SUITE A",SEATTLE,WA,98122,accounting@washingtonbus.org,64.90,4271.01,4271.01,374.01,MEALS FOR CANVASSING STAFF,2023-10-13T00:00:00.000,2023-10-13T00:00:00.000,EL MIRADOR,21601 E YAKIMA AVE #2179,YAKIMA,WA,98901,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-12756'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22767.expn,12756,C6.2 - Itemized Expenditures,34313,2145,THE WASHINGTON BUS POLITICAL ACTION COMMITTEE ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2024-10-17T00:00:00.000,2023,"1801 12TH AVENUE, SUITE A",SEATTLE,WA,98122,accounting@washingtonbus.org,64.90,4271.01,4271.01,467.00,CAR RENTAL,2023-10-13T00:00:00.000,2023-10-13T00:00:00.000,FOX RENT-A-CAR,3150 S 160TH ST ,SEATTLE,WA,98188,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-12756'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22766.expn,12756,C6.2 - Itemized Expenditures,34313,2145,THE WASHINGTON BUS POLITICAL ACTION COMMITTEE ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2024-10-17T00:00:00.000,2023,"1801 12TH AVENUE, SUITE A",SEATTLE,WA,98122,accounting@washingtonbus.org,64.90,4271.01,4271.01,1244.00,CANVASSING STAFF LODGING,2023-10-13T00:00:00.000,2023-10-13T00:00:00.000,BAYMONT YAKIMA RIVERFRONT ,1603 E YAKIMA AVE,YAKIMA,WA,98901,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-12756'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31855.entity,12757,C6.3 - Identified Entities,34313,2145,THE WASHINGTON BUS POLITICAL ACTION COMMITTEE ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2024-10-17T00:00:00.000,2023,"1801 12TH AVENUE, SUITE A",SEATTLE,WA,98122,,0.00,16001.72,11730.71,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-12757'},1546,1084848,32733,LUNDS  902, Soneya Lund ,Soneya Lund,City Council Member,City Of Yakima,7200.43,For,LUNDS  902,,,,,,,,,,,,,,,,,,,,,
31854.entity,12757,C6.3 - Identified Entities,34313,2145,THE WASHINGTON BUS POLITICAL ACTION COMMITTEE ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2024-10-17T00:00:00.000,2023,"1801 12TH AVENUE, SUITE A",SEATTLE,WA,98122,,0.00,16001.72,11730.71,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-12757'},4575,2003509,34068,GUTIC  902, Dulce Gutierrez ,Dulce Gutierrez,City Council Member,City Of Yakima,4530.28,For,GUTIC  902,,,,,,,,,,,,,,,,,,,,,
31853.entity,12756,C6.3 - Identified Entities,34313,2145,THE WASHINGTON BUS POLITICAL ACTION COMMITTEE ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2024-10-17T00:00:00.000,2023,"1801 12TH AVENUE, SUITE A",SEATTLE,WA,98122,,64.90,4271.01,4271.01,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-12756'},4575,2003509,34068,GUTIC  902, Dulce Gutierrez ,Dulce Gutierrez,City Council Member,City Of Yakima,4271.01,For,GUTIC  902,,,,,,,,,,,,,,,,,,,,,
22776.expn,12757,C6.2 - Itemized Expenditures,34313,2145,THE WASHINGTON BUS POLITICAL ACTION COMMITTEE ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2024-10-17T00:00:00.000,2023,"1801 12TH AVENUE, SUITE A",SEATTLE,WA,98122,accounting@washingtonbus.org,0.00,16001.72,11730.71,1774.37,2181 MAILERS - D. GUTTIEREZ,2023-11-01T00:00:00.000,2023-11-01T00:00:00.000,OVERNIGHT PRINTING,2412 1ST AVE S,SEATTLE,WA,98134,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-12757'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22775.expn,12757,C6.2 - Itemized Expenditures,34313,2145,THE WASHINGTON BUS POLITICAL ACTION COMMITTEE ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2024-10-17T00:00:00.000,2023,"1801 12TH AVENUE, SUITE A",SEATTLE,WA,98122,accounting@washingtonbus.org,0.00,16001.72,11730.71,3851.70,2970 MAILERS - SONEYA LUND,2023-11-01T00:00:00.000,2023-11-01T00:00:00.000,OVERNIGHT PRINTING,2412 1ST AVE S,SEATTLE,WA,98134,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-12757'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22774.expn,12757,C6.2 - Itemized Expenditures,34313,2145,THE WASHINGTON BUS POLITICAL ACTION COMMITTEE ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2024-10-17T00:00:00.000,2023,"1801 12TH AVENUE, SUITE A",SEATTLE,WA,98122,accounting@washingtonbus.org,0.00,16001.72,11730.71,2476.73,3200 MAILERS - SONEYA LUND,2023-10-25T00:00:00.000,2023-10-25T00:00:00.000,OVERNIGHT PRINTING,2412 1ST AVE S,SEATTLE,WA,98134,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-12757'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22773.expn,12757,C6.2 - Itemized Expenditures,34313,2145,THE WASHINGTON BUS POLITICAL ACTION COMMITTEE ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2024-10-17T00:00:00.000,2023,"1801 12TH AVENUE, SUITE A",SEATTLE,WA,98122,accounting@washingtonbus.org,0.00,16001.72,11730.71,2755.91,2091 MAILERS - D. GUTTIEREZ,2023-10-25T00:00:00.000,2023-10-25T00:00:00.000,OVERNIGHT PRINTING,2412 1ST AVE S,SEATTLE,WA,98134,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-12757'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22772.expn,12757,C6.2 - Itemized Expenditures,34313,2145,THE WASHINGTON BUS POLITICAL ACTION COMMITTEE ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2024-10-17T00:00:00.000,2023,"1801 12TH AVENUE, SUITE A",SEATTLE,WA,98122,accounting@washingtonbus.org,0.00,16001.72,11730.71,872.00,LIST SHARING - SONEYA LUND,2023-10-25T00:00:00.000,2023-10-25T00:00:00.000,THE WASHINGTON BUS,1801 12TH AVE,SEATTLE,WA,98122,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-12757'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22771.expn,12756,C6.2 - Itemized Expenditures,34313,2145,THE WASHINGTON BUS POLITICAL ACTION COMMITTEE ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2024-10-17T00:00:00.000,2023,"1801 12TH AVENUE, SUITE A",SEATTLE,WA,98122,accounting@washingtonbus.org,64.90,4271.01,4271.01,658.00,1000 FLIERS,2023-10-12T00:00:00.000,2023-10-13T00:00:00.000,OVERNIGHT PRINTING,2412 1ST AVE S,SEATTLE,WA,98134,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-12756'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22770.expn,12756,C6.2 - Itemized Expenditures,34313,2145,THE WASHINGTON BUS POLITICAL ACTION COMMITTEE ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2024-10-17T00:00:00.000,2023,"1801 12TH AVENUE, SUITE A",SEATTLE,WA,98122,accounting@washingtonbus.org,64.90,4271.01,4271.01,187.10,MEALS FOR CANVASSING STAFF,2023-10-12T00:00:00.000,2023-10-12T00:00:00.000,JIMMY JOHNS,122 E YAKIMA AVE,YAKIMA,WA,98901,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-12756'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30745.entity,12421,C6.3 - Identified Entities,33792,2096,ALLIANCE FOR CIVIC INVOLVEMENT PAC ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure,2024-03-20T00:00:00.000,2023,4004 NE 4TH STREET #107 SUITE #412,RENTON,WA,98056,,0.00,24720.00,12720.00,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-12421'},35765,689307,31981,ANDRA--557,ANDRADE ALEX ,ALEX,CITY COUNCIL MEMBER,CITY OF BURIEN,3180.00,For,ANDRA--557,,,,,,,,ANDRADE,SELECT A PARTY,,,,,,,,,,,,
30744.entity,12421,C6.3 - Identified Entities,33792,2096,ALLIANCE FOR CIVIC INVOLVEMENT PAC ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure,2024-03-20T00:00:00.000,2023,4004 NE 4TH STREET #107 SUITE #412,RENTON,WA,98056,,0.00,24720.00,12720.00,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-12421'},36807,1625663,33609,ROTTA--853,ROTTER AMY ,AMY,CITY COUNCIL MEMBER,CITY OF SEATAC,3180.00,For,ROTTA--853,,,,,,,,ROTTER,SELECT A PARTY,,,,,,,,,,,,
22050.expn,12421,C6.2 - Itemized Expenditures,33792,2096,ALLIANCE FOR CIVIC INVOLVEMENT PAC ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure,2024-03-20T00:00:00.000,2023,4004 NE 4TH STREET #107 SUITE #412,RENTON,WA,98056,s_cook113@hotmail.com,0.00,24720.00,12720.00,720.00,"Y-SIGNS, D-HANGERS, STICKERS",2023-08-15T00:00:00.000,2023-08-15T00:00:00.000,DARELA GREEN,636 SW 152ND ST,BURIEN,WA,98166,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-12421'},,,,,,,,,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-122.34348, 47.4672]}",,,,,,,,,,,
30746.entity,12421,C6.3 - Identified Entities,33792,2096,ALLIANCE FOR CIVIC INVOLVEMENT PAC ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure,2024-03-20T00:00:00.000,2023,4004 NE 4TH STREET #107 SUITE #412,RENTON,WA,98056,,0.00,24720.00,12720.00,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-12421'},35796,689348,31965,AKEYL--166,AKEY LINDA ,LINDA,CITY COUNCIL MEMBER,CITY OF BURIEN,3180.00,For,AKEYL--166,,,,,,,,AKEY,SELECT A PARTY,,,,,,,,,,,,
30743.entity,12421,C6.3 - Identified Entities,33792,2096,ALLIANCE FOR CIVIC INVOLVEMENT PAC ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure,2024-03-20T00:00:00.000,2023,4004 NE 4TH STREET #107 SUITE #412,RENTON,WA,98056,,0.00,24720.00,12720.00,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-12421'},4656,689399,32113,KWONP  188,KWON PETER ,PETER,CITY COUNCIL MEMBER,CITY OF SEATAC,3180.00,For,KWONP  188,,,,,,,,KWON,REPUBLICAN,,,,,,,,,,,,
22051.expn,12421,C6.2 - Itemized Expenditures,33792,2096,ALLIANCE FOR CIVIC INVOLVEMENT PAC ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure,2024-03-20T00:00:00.000,2023,4004 NE 4TH STREET #107 SUITE #412,RENTON,WA,98056,s_cook113@hotmail.com,0.00,24720.00,12720.00,12000.00,VIDEOS,2023-08-15T00:00:00.000,2023-08-15T00:00:00.000,PROLOGUE DIGITAL,1851 CENTRAL PLACE S.,KENT,WA,98030,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-12421'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30514.entity,12409,C6.3 - Identified Entities,33404,315,FUSE VOTES ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure,2024-01-20T00:00:00.000,2023,PO BOX 4897,SEATTLE,WA,98194,,0.00,66317.50,41509.32,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-12409'},29642,689140,31681,REYNS--104, SARAH REYNEVELD ,SARAH REYNEVELD,COUNTY COUNCIL MEMBER,KING CO,130.74,For,REYNS--104,,,,,,,,,NON PARTISAN,,,,,,,,,,,,
30460.entity,12413,C6.3 - Identified Entities,33404,315,FUSE VOTES ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure Ad,2024-01-20T00:00:00.000,2023,PO BOX 4897,SEATTLE,WA,98194,,0.00,90766.53,5549.03,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-12413'},31158,1221678,33712,SKALM--372, MIRANDA SKALISKY ,MIRANDA SKALISKY,SCHOOL DIRECTOR,WENATCHEE SD 246,66.86,For,SKALM--372,,,,,,,,,NON PARTISAN,,,,,,,,,,,,
30461.entity,12413,C6.3 - Identified Entities,33404,315,FUSE VOTES ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure Ad,2024-01-20T00:00:00.000,2023,PO BOX 4897,SEATTLE,WA,98194,,0.00,90766.53,5549.03,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-12413'},46125,689476,32208,GONZE--100, ERASMO RUIZ GONZALEZ ,ERASMO RUIZ GONZALEZ,SCHOOL DIRECTOR,BETHEL SD 403,66.86,For,GONZE--100,,,,,,,,,NON PARTISAN,,,,,,,,,,,,
30462.entity,12413,C6.3 - Identified Entities,33404,315,FUSE VOTES ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure Ad,2024-01-20T00:00:00.000,2023,PO BOX 4897,SEATTLE,WA,98194,,0.00,90766.53,5549.03,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-12413'},36370,1282282,33422,TOURJ--361, JESSICA TOURTELLOTTE-PALUMBO ,JESSICA TOURTELLOTTE-PALUMBO,SCHOOL DIRECTOR,OLYMPIA SD 111,66.86,For,TOURJ--361,,,,,,,,,NON PARTISAN,,,,,,,,,,,,
30458.entity,12413,C6.3 - Identified Entities,33404,315,FUSE VOTES ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Independent Expenditure Ad,2024-01-20T00:00:00.000,2023,PO BOX 4897,SEATTLE,WA,98194,,0.00,90766.53,5549.03,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-12413'},23892,1045180,33170,JACKD--311, DRAYTON JACKSON ,DRAYTON JACKSON,SCHOOL DIRECTOR,CENTRAL KITSAP SD 401,133.71,For,JACKD--311,,,,,,,,,NON PARTISAN,,,,,,,,,,,,
