id,report_number,origin,sponsor_entity_id,sponsor_id,sponsor_name,sponsor_description,report_type,report_date,election_year,sponsor_address,sponsor_city,sponsor_state,sponsor_zip,sponsor_email,total_unitemized,total_cycle,total_this_report,expenditure_amount,expenditure_description,date_expense_obligated,date_advertising_presented,vendor_name,vendor_address,vendor_city,vendor_state,vendor_zipcode,url,sponsor_location,vendor_location,candidate_name,ballot_name,ballot_number,ballot_type,portion_of_amount,for_or_against,sponsor_phone,candidate_entity_id,candidate_candidacy_id,candidate_committee_id,candidate_filer_id,candidate_last_name,candidate_first_name,candidate_office,candidate_jurisdiction,candidate_party,filer_id,funders_name,date_received,amount,funders_address,funders_city,funders_state,funders_zipcode,funders_location,funders_first_name,funders_occupation,funders_employer,funders_employer_city,funders_employer_state
17071.expn,10183,C6.2 - Itemized Expenditures,34628,1116,TACOMA-PIERCE COUNTY CHAMBER ,An individual using only personal funds,Independent Expenditure,2020-08-04T00:00:00.000,2016,1201 PACIFIC AVE.,TACOMA,WA,98402,tomp@tacomachamber.org,0.00,16498.00,16498.00,1125.00,LEGAL SERVICES,2016-06-29T00:00:00.000,2016-06-29T00:00:00.000,GORDON THOMAS HONEYWELL,1201 PACIFIC AVE.,TACOMA,WA,98402,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-10183'},"{'type': 'Point', 'coordinates': [-122.43754, 47.25209]}","{'type': 'Point', 'coordinates': [-122.43754, 47.25209]}",,,,,,,2535769889,,,,,,,,,,,,,,,,,,,,,,,
21671.entity,10183,C6.3 - Identified Entities,34628,1116,TACOMA-PIERCE COUNTY CHAMBER ,An individual using only personal funds,Independent Expenditure,2020-08-04T00:00:00.000,2016,1201 PACIFIC AVE.,TACOMA,WA,98402,,0.00,16498.00,16498.00,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-10183'},"{'type': 'Point', 'coordinates': [-122.43754, 47.25209]}",,  ,SAVE TACOMA WATER INITIATIVE 6,0,LOCAL,8249.00,Against,,,,,,,,,,,,,,,,,,,,,,,,
21670.entity,10183,C6.3 - Identified Entities,34628,1116,TACOMA-PIERCE COUNTY CHAMBER ,An individual using only personal funds,Independent Expenditure,2020-08-04T00:00:00.000,2016,1201 PACIFIC AVE.,TACOMA,WA,98402,,0.00,16498.00,16498.00,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-10183'},"{'type': 'Point', 'coordinates': [-122.43754, 47.25209]}",,  ,SAVE TACOMA WATER INITIATIVE 5,0,LOCAL,8249.00,Against,,,,,,,,,,,,,,,,,,,,,,,,
17072.expn,10183,C6.2 - Itemized Expenditures,34628,1116,TACOMA-PIERCE COUNTY CHAMBER ,An individual using only personal funds,Independent Expenditure,2020-08-04T00:00:00.000,2016,1201 PACIFIC AVE.,TACOMA,WA,98402,tomp@tacomachamber.org,0.00,16498.00,16498.00,1875.00,LEGAL SERVICES,2016-06-30T00:00:00.000,2016-06-30T00:00:00.000,GORDON THOMAS HONEYWELL,1201 PACIFIC AVE.,TACOMA,WA,98402,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-10183'},"{'type': 'Point', 'coordinates': [-122.43754, 47.25209]}","{'type': 'Point', 'coordinates': [-122.43754, 47.25209]}",,,,,,,2535769889,,,,,,,,,,,,,,,,,,,,,,,
17073.expn,10183,C6.2 - Itemized Expenditures,34628,1116,TACOMA-PIERCE COUNTY CHAMBER ,An individual using only personal funds,Independent Expenditure,2020-08-04T00:00:00.000,2016,1201 PACIFIC AVE.,TACOMA,WA,98402,tomp@tacomachamber.org,0.00,16498.00,16498.00,1312.00,LEGAL SERVICES,2016-07-01T00:00:00.000,2016-07-01T00:00:00.000,GORDON THOMAS HONEYWELL,1201 PACIFIC AVE.,TACOMA,WA,98402,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-10183'},"{'type': 'Point', 'coordinates': [-122.43754, 47.25209]}","{'type': 'Point', 'coordinates': [-122.43754, 47.25209]}",,,,,,,2535769889,,,,,,,,,,,,,,,,,,,,,,,
17065.expn,10183,C6.2 - Itemized Expenditures,34628,1116,TACOMA-PIERCE COUNTY CHAMBER ,An individual using only personal funds,Independent Expenditure,2020-08-04T00:00:00.000,2016,1201 PACIFIC AVE.,TACOMA,WA,98402,tomp@tacomachamber.org,0.00,16498.00,16498.00,2212.00,LEGAL SERVICES,2016-06-17T00:00:00.000,2016-06-17T00:00:00.000,GORDON THOMAS HONEYWELL,1201 PACIFIC AVE.,TACOMA,WA,98402,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-10183'},"{'type': 'Point', 'coordinates': [-122.43754, 47.25209]}","{'type': 'Point', 'coordinates': [-122.43754, 47.25209]}",,,,,,,2535769889,,,,,,,,,,,,,,,,,,,,,,,
17059.expn,10183,C6.2 - Itemized Expenditures,34628,1116,TACOMA-PIERCE COUNTY CHAMBER ,An individual using only personal funds,Independent Expenditure,2020-08-04T00:00:00.000,2016,1201 PACIFIC AVE.,TACOMA,WA,98402,tomp@tacomachamber.org,0.00,16498.00,16498.00,300.00,LEGAL SERVICES,2016-05-24T00:00:00.000,2016-05-24T00:00:00.000,GORDON THOMAS HONEYWELL,1201 PACIFIC AVE.,TACOMA,WA,98402,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-10183'},"{'type': 'Point', 'coordinates': [-122.43754, 47.25209]}","{'type': 'Point', 'coordinates': [-122.43754, 47.25209]}",,,,,,,2535769889,,,,,,,,,,,,,,,,,,,,,,,
17060.expn,10183,C6.2 - Itemized Expenditures,34628,1116,TACOMA-PIERCE COUNTY CHAMBER ,An individual using only personal funds,Independent Expenditure,2020-08-04T00:00:00.000,2016,1201 PACIFIC AVE.,TACOMA,WA,98402,tomp@tacomachamber.org,0.00,16498.00,16498.00,660.00,LEGAL SERVICES,2016-05-25T00:00:00.000,2016-05-25T00:00:00.000,GORDON THOMAS HONEYWELL,1201 PACIFIC AVE.,TACOMA,WA,98402,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-10183'},"{'type': 'Point', 'coordinates': [-122.43754, 47.25209]}","{'type': 'Point', 'coordinates': [-122.43754, 47.25209]}",,,,,,,2535769889,,,,,,,,,,,,,,,,,,,,,,,
17061.expn,10183,C6.2 - Itemized Expenditures,34628,1116,TACOMA-PIERCE COUNTY CHAMBER ,An individual using only personal funds,Independent Expenditure,2020-08-04T00:00:00.000,2016,1201 PACIFIC AVE.,TACOMA,WA,98402,tomp@tacomachamber.org,0.00,16498.00,16498.00,1620.00,LEGAL SERVICES,2016-05-27T00:00:00.000,2016-05-27T00:00:00.000,GORDON THOMAS HONEYWELL,1201 PACIFIC AVE.,TACOMA,WA,98402,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-10183'},"{'type': 'Point', 'coordinates': [-122.43754, 47.25209]}","{'type': 'Point', 'coordinates': [-122.43754, 47.25209]}",,,,,,,2535769889,,,,,,,,,,,,,,,,,,,,,,,
17062.expn,10183,C6.2 - Itemized Expenditures,34628,1116,TACOMA-PIERCE COUNTY CHAMBER ,An individual using only personal funds,Independent Expenditure,2020-08-04T00:00:00.000,2016,1201 PACIFIC AVE.,TACOMA,WA,98402,tomp@tacomachamber.org,0.00,16498.00,16498.00,750.00,LEGAL SERVICES,2016-06-07T00:00:00.000,2016-06-07T00:00:00.000,GORDON THOMAS HONEYWELL,1201 PACIFIC AVE.,TACOMA,WA,98402,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-10183'},"{'type': 'Point', 'coordinates': [-122.43754, 47.25209]}","{'type': 'Point', 'coordinates': [-122.43754, 47.25209]}",,,,,,,2535769889,,,,,,,,,,,,,,,,,,,,,,,
17063.expn,10183,C6.2 - Itemized Expenditures,34628,1116,TACOMA-PIERCE COUNTY CHAMBER ,An individual using only personal funds,Independent Expenditure,2020-08-04T00:00:00.000,2016,1201 PACIFIC AVE.,TACOMA,WA,98402,tomp@tacomachamber.org,0.00,16498.00,16498.00,1260.00,LEGAL SERVICES,2016-06-09T00:00:00.000,2016-06-09T00:00:00.000,GORDON THOMAS HONEYWELL,1201 PACIFIC AVE.,TACOMA,WA,98402,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-10183'},"{'type': 'Point', 'coordinates': [-122.43754, 47.25209]}","{'type': 'Point', 'coordinates': [-122.43754, 47.25209]}",,,,,,,2535769889,,,,,,,,,,,,,,,,,,,,,,,
17064.expn,10183,C6.2 - Itemized Expenditures,34628,1116,TACOMA-PIERCE COUNTY CHAMBER ,An individual using only personal funds,Independent Expenditure,2020-08-04T00:00:00.000,2016,1201 PACIFIC AVE.,TACOMA,WA,98402,tomp@tacomachamber.org,0.00,16498.00,16498.00,2205.00,LEGAL SERVICES,2016-06-14T00:00:00.000,2016-06-14T00:00:00.000,GORDON THOMAS HONEYWELL,1201 PACIFIC AVE.,TACOMA,WA,98402,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-10183'},"{'type': 'Point', 'coordinates': [-122.43754, 47.25209]}","{'type': 'Point', 'coordinates': [-122.43754, 47.25209]}",,,,,,,2535769889,,,,,,,,,,,,,,,,,,,,,,,
16661.expn,9982,C6.2 - Itemized Expenditures,34658,1217,ECONOMIC DEVELOPMENT BOARD FOR TACOMA-PIERCE COUNTY ,"A business, union, group, association, organization, or other person using only general treasury funds.",Independent Expenditure,2020-07-07T00:00:00.000,2016,"950 PACIFIC AVE, SUITE 410",TACOMA,WA,98402,DEBORAH@EDBTACOMAPIERCE.ORG,0.00,13662.55,13662.55,7255.55,LEGAL SERVICES,2016-06-01T00:00:00.000,2016-06-01T00:00:00.000,"LEDGER SQUARE LAW, P.S.",710 MARKET STREET,TACOMA,WA,98402,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-9982'},"{'type': 'Point', 'coordinates': [-122.43907, 47.25356]}","{'type': 'Point', 'coordinates': [-122.4426, 47.25699]}",,,,,,,253-383-4726,,,,,,,,,,,,,,,,,,,,,,,
16662.expn,9982,C6.2 - Itemized Expenditures,34658,1217,ECONOMIC DEVELOPMENT BOARD FOR TACOMA-PIERCE COUNTY ,"A business, union, group, association, organization, or other person using only general treasury funds.",Independent Expenditure,2020-07-07T00:00:00.000,2016,"950 PACIFIC AVE, SUITE 410",TACOMA,WA,98402,DEBORAH@EDBTACOMAPIERCE.ORG,0.00,13662.55,13662.55,4299.00,LEGAL SERVICES,2016-07-01T00:00:00.000,2016-07-01T00:00:00.000,"LEDGER SQUARE LAW, P.S.",710 MARKET STREET,TACOMA,WA,98402,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-9982'},"{'type': 'Point', 'coordinates': [-122.43907, 47.25356]}","{'type': 'Point', 'coordinates': [-122.4426, 47.25699]}",,,,,,,253-383-4726,,,,,,,,,,,,,,,,,,,,,,,
16655.expn,9982,C6.2 - Itemized Expenditures,34658,1217,ECONOMIC DEVELOPMENT BOARD FOR TACOMA-PIERCE COUNTY ,"A business, union, group, association, organization, or other person using only general treasury funds.",Independent Expenditure,2020-07-07T00:00:00.000,2016,"950 PACIFIC AVE, SUITE 410",TACOMA,WA,98402,DEBORAH@EDBTACOMAPIERCE.ORG,0.00,13662.55,13662.55,527.00,LEGAL SERVICES,2016-05-22T00:00:00.000,2016-05-22T00:00:00.000,"LEDGER SQUARE LAW, P.S.",710 MARKET STREET,TACOMA,WA,98402,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-9982'},"{'type': 'Point', 'coordinates': [-122.43907, 47.25356]}","{'type': 'Point', 'coordinates': [-122.4426, 47.25699]}",,,,,,,253-383-4726,,,,,,,,,,,,,,,,,,,,,,,
20905.entity,9982,C6.3 - Identified Entities,34658,1217,ECONOMIC DEVELOPMENT BOARD FOR TACOMA-PIERCE COUNTY ,"A business, union, group, association, organization, or other person using only general treasury funds.",Independent Expenditure,2020-07-07T00:00:00.000,2016,"950 PACIFIC AVE, SUITE 410",TACOMA,WA,98402,,0.00,13662.55,13662.55,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-9982'},"{'type': 'Point', 'coordinates': [-122.43907, 47.25356]}",,  ,SAVE TACOMA WATER CHARTER INITIATIVE 5,0,LOCAL,6831.28,Against,,,,,,,,,,,,,,,,,,,,,,,,
20906.entity,9982,C6.3 - Identified Entities,34658,1217,ECONOMIC DEVELOPMENT BOARD FOR TACOMA-PIERCE COUNTY ,"A business, union, group, association, organization, or other person using only general treasury funds.",Independent Expenditure,2020-07-07T00:00:00.000,2016,"950 PACIFIC AVE, SUITE 410",TACOMA,WA,98402,,0.00,13662.55,13662.55,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-9982'},"{'type': 'Point', 'coordinates': [-122.43907, 47.25356]}",,  ,SAVE TACOMA WATER CODE INITIATIVE 6,0,LOCAL,6831.27,Against,,,,,,,,,,,,,,,,,,,,,,,,
16656.expn,9982,C6.2 - Itemized Expenditures,34658,1217,ECONOMIC DEVELOPMENT BOARD FOR TACOMA-PIERCE COUNTY ,"A business, union, group, association, organization, or other person using only general treasury funds.",Independent Expenditure,2020-07-07T00:00:00.000,2016,"950 PACIFIC AVE, SUITE 410",TACOMA,WA,98402,DEBORAH@EDBTACOMAPIERCE.ORG,0.00,13662.55,13662.55,105.40,LEGAL SERVICES,2016-05-23T00:00:00.000,2016-05-23T00:00:00.000,"LEDGER SQUARE LAW, P.S.",710 MARKET STREET,TACOMA,WA,98402,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-9982'},"{'type': 'Point', 'coordinates': [-122.43907, 47.25356]}","{'type': 'Point', 'coordinates': [-122.4426, 47.25699]}",,,,,,,253-383-4726,,,,,,,,,,,,,,,,,,,,,,,
16657.expn,9982,C6.2 - Itemized Expenditures,34658,1217,ECONOMIC DEVELOPMENT BOARD FOR TACOMA-PIERCE COUNTY ,"A business, union, group, association, organization, or other person using only general treasury funds.",Independent Expenditure,2020-07-07T00:00:00.000,2016,"950 PACIFIC AVE, SUITE 410",TACOMA,WA,98402,DEBORAH@EDBTACOMAPIERCE.ORG,0.00,13662.55,13662.55,658.75,LEGAL SERVICES,2016-05-25T00:00:00.000,2016-05-25T00:00:00.000,"LEDGER SQUARE LAW, P.S.",710 MARKET STREET,TACOMA,WA,98402,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-9982'},"{'type': 'Point', 'coordinates': [-122.43907, 47.25356]}","{'type': 'Point', 'coordinates': [-122.4426, 47.25699]}",,,,,,,253-383-4726,,,,,,,,,,,,,,,,,,,,,,,
16658.expn,9982,C6.2 - Itemized Expenditures,34658,1217,ECONOMIC DEVELOPMENT BOARD FOR TACOMA-PIERCE COUNTY ,"A business, union, group, association, organization, or other person using only general treasury funds.",Independent Expenditure,2020-07-07T00:00:00.000,2016,"950 PACIFIC AVE, SUITE 410",TACOMA,WA,98402,DEBORAH@EDBTACOMAPIERCE.ORG,0.00,13662.55,13662.55,79.05,LEGAL SERVICES,2016-05-26T00:00:00.000,2016-05-26T00:00:00.000,"LEDGER SQUARE LAW, P.S.",710 MARKET STREET,TACOMA,WA,98402,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-9982'},"{'type': 'Point', 'coordinates': [-122.43907, 47.25356]}","{'type': 'Point', 'coordinates': [-122.4426, 47.25699]}",,,,,,,253-383-4726,,,,,,,,,,,,,,,,,,,,,,,
16659.expn,9982,C6.2 - Itemized Expenditures,34658,1217,ECONOMIC DEVELOPMENT BOARD FOR TACOMA-PIERCE COUNTY ,"A business, union, group, association, organization, or other person using only general treasury funds.",Independent Expenditure,2020-07-07T00:00:00.000,2016,"950 PACIFIC AVE, SUITE 410",TACOMA,WA,98402,DEBORAH@EDBTACOMAPIERCE.ORG,0.00,13662.55,13662.55,658.75,LEGAL SERVICES,2016-05-27T00:00:00.000,2016-05-27T00:00:00.000,"LEDGER SQUARE LAW, P.S.",710 MARKET STREET,TACOMA,WA,98402,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-9982'},"{'type': 'Point', 'coordinates': [-122.43907, 47.25356]}","{'type': 'Point', 'coordinates': [-122.4426, 47.25699]}",,,,,,,253-383-4726,,,,,,,,,,,,,,,,,,,,,,,
16660.expn,9982,C6.2 - Itemized Expenditures,34658,1217,ECONOMIC DEVELOPMENT BOARD FOR TACOMA-PIERCE COUNTY ,"A business, union, group, association, organization, or other person using only general treasury funds.",Independent Expenditure,2020-07-07T00:00:00.000,2016,"950 PACIFIC AVE, SUITE 410",TACOMA,WA,98402,DEBORAH@EDBTACOMAPIERCE.ORG,0.00,13662.55,13662.55,79.05,LEGAL SERVICES,2016-05-31T00:00:00.000,2016-05-31T00:00:00.000,"LEDGER SQUARE LAW, P.S.",710 MARKET STREET,TACOMA,WA,98402,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-9982'},"{'type': 'Point', 'coordinates': [-122.43907, 47.25356]}","{'type': 'Point', 'coordinates': [-122.4426, 47.25699]}",,,,,,,253-383-4726,,,,,,,,,,,,,,,,,,,,,,,
14137.expn,8273,C6.2 - Itemized Expenditures,34613,1046,FAITH ACTION NETWORK ,"A business, union, group, association, organization, or other person using only general treasury funds.",Independent Expenditure,2018-01-25T00:00:00.000,2016,3720 AIRPORT WAY S,SEATTLE,WA,98134,PARKS@FANWA.ORG,0.00,481.54,481.54,98.55,"IN KIND - STAFF, COMMS",2016-11-03T00:00:00.000,2016-03-23T00:00:00.000,ALLIANCE FOR GUN RESPONSIBILI,PO BOX 21712,SEATTLE,WA,98111,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-8273'},"{'type': 'Point', 'coordinates': [-122.32243, 47.57007]}","{'type': 'Point', 'coordinates': [-122.33653, 47.60891]}",,,,,,,206-625-9790,,,,,,,,,,,,,,,,,,,,,,,
14138.expn,8273,C6.2 - Itemized Expenditures,34613,1046,FAITH ACTION NETWORK ,"A business, union, group, association, organization, or other person using only general treasury funds.",Independent Expenditure,2018-01-25T00:00:00.000,2016,3720 AIRPORT WAY S,SEATTLE,WA,98134,PARKS@FANWA.ORG,0.00,481.54,481.54,48.03,"IN KIND - STAFF, COMMS",2016-07-12T00:00:00.000,2016-06-01T00:00:00.000,WASHINGTON WON'T DISCRIMINATE,"119 1ST AVE S, SUITE 312",SEATTLE,WA,98104,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-8273'},"{'type': 'Point', 'coordinates': [-122.32243, 47.57007]}","{'type': 'Point', 'coordinates': [-122.33452, 47.60101]}",,,,,,,206-625-9790,,,,,,,,,,,,,,,,,,,,,,,
16614.entity,8273,C6.3 - Identified Entities,34613,1046,FAITH ACTION NETWORK ,"A business, union, group, association, organization, or other person using only general treasury funds.",Independent Expenditure,2018-01-25T00:00:00.000,2016,3720 AIRPORT WAY S,SEATTLE,WA,98134,,0.00,481.54,481.54,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-8273'},"{'type': 'Point', 'coordinates': [-122.32243, 47.57007]}",,  ,INTEGRITY WA - CAMPAIGN FINANCE REFORM,1464,STATEWIDE,36.63,For,,,,,,,,,,,,,,,,,,,,,,,,
